Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Expense Type,Expense Area
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Bus School,GPROSTD322173,"318,878.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Bus School,GPROSTD323352,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Met Uni,GPROSTD304996,"278,502.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Met Uni,GPROSTD320265,"2,957,703.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Met Uni,GPROSTD322200,"248,513.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Met Uni,GPROSTD323376,"129,042.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Sch Economics,GPROSTD320247,"523,146.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Sch Economics,GPROSTD322182,"1,488,645.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Sch Economics,GPROSTD323364,"140,737.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Sch Hygiene,GPROSTD320256,"311,907.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London Sch Hygiene,GPROSTD322191,"1,611,274.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London South Bank,GPROSTD320274,"2,468,538.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London South Bank,GPROSTD322209,"175,241.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London South Bank,GPROSTD323388,"67,347.00",HEIF 2011-15,RIS policy team
