Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction no,Amount
BIS,HEFCE,14/01/2013,London Insts,Inst teams Lond East,Royal College of Art,GPROSTD324714,"255,107.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Royal Holloway,GPROSTD320863,"1,740,421.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Royal Holloway,GPROSTD322456,"1,439,590.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Royal Holloway,GPROSTD323644,"40,399.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Royal Holloway,GPROSTD326026,"27,358.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Royal North Coll Mus,GPROSTD320872,"524,063.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Royal Veterinary,GPROSTD320881,"1,865,697.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Royal Veterinary,GPROSTD322474,"566,495.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Royal Veterinary,GPROSTD323668,"99,425.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Ruskin College,GPROSTD320899,"83,696.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Sheffield College,GPROSTD320944,"95,500.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Sheffield Hallam Uni,GPROSTD320953,"4,433,968.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Sheffield Hallam Uni,GPROSTD322492,"442,103.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Sheffield Hallam Uni,GPROSTD323692,"100,821.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Sheffield Hallam Uni,GPROSTD326056,"177,682.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Sheffield LEA,GPROSTD314554,"63,197.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,SOAS,GPROSTD320638,"533,908.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,SOAS,GPROSTD322339,"658,708.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,SOAS,GPROSTD323536,"39,586.00"
BIS,HEFCE,14/01/2013,London Insts,Inst teams Lond East,SOAS,GPROSTD324702,"42,755.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Solihull College,GPROSTD320971,"111,489.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Somerset Coll of Art,GPROSTD320980,"47,682.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Southampton Solent U,GPROSTD321025,"2,425,009.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Southampton Solent U,GPROSTD323716,"73,031.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Southampton Solent U,GPROSTD326080,"66,920.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,South Downs College,GPROSTD320998,"35,897.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,South Glos & Stroud,GPROSTD321097,"30,714.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,South Notts College,GPROSTD321007,"82,399.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,South Tyneside Coll,GPROSTD321061,"163,392.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Sparsholt College,GPROSTD321115,"164,340.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Staffordshire Uni,GPROSTD321124,"3,676,593.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Staffordshire Uni,GPROSTD322528,"60,375.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Staffordshire Uni,GPROSTD323740,"100,142.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Staffordshire Uni,GPROSTD326113,"156,300.00"
BIS,HEFCE,14/01/2013,Basic Grant,RIS policy team,Staffordshire Uni,GPROSTD327309,"27,952.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Staffs LEA,GPROSTD314558,"46,458.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Stephenson College,GPROSTD321151,"80,242.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,St George's Med Sch,GPROSTD321160,"2,089,575.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,St George's Med Sch,GPROSTD322537,"566,141.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,St George's Med Sch,GPROSTD323752,"77,868.00"
