Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Liverpool LEA,GPROSTD314351,"87,576.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,London Bus School,GPROSTD317917,"92,464.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,London Bus School,GPROSTD322171,"386,246.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,London Bus School,GPROSTD323350,"237,405.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,London Met Uni,GPROSTD314392,"83,350.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,London Met Uni,GPROSTD317550,"173,796.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,London Met Uni,GPROSTD317919,"110,581.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,London Met Uni,GPROSTD320263,"3,582,570.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,London Met Uni,GPROSTD322198,"301,016.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,London Met Uni,GPROSTD323374,"128,888.00"
BIS,HEFCE,15/11/2012,Student Support Fund,Central,London Met Uni,GPROSTD327450,"300,000.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,London PFA,GPROSTD314352,"47,504.00"
BIS,HEFCE,15/11/2012,SDF Recurrent,RIS policy team,London Sch Economics,GPROSTD309200,"32,846.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,London Sch Economics,GPROSTD317549,"48,486.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,London Sch Economics,GPROSTD317918,"547,799.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,London Sch Economics,GPROSTD320245,"633,670.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,London Sch Economics,GPROSTD322180,"1,803,147.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,London Sch Economics,GPROSTD323362,"140,569.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,London Sch Hygiene,GPROSTD317966,"812,968.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,London Sch Hygiene,GPROSTD318732,"325,187.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,London Sch Hygiene,GPROSTD320254,"377,803.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,London Sch Hygiene,GPROSTD322189,"1,951,685.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,London South Bank,GPROSTD317551,"168,790.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,London South Bank,GPROSTD317920,"102,880.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,London South Bank,GPROSTD320272,"2,990,060.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,London South Bank,GPROSTD322207,"212,263.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,London South Bank,GPROSTD323386,"67,266.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Loughborough College,GPROSTD320290,"196,933.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Loughborough Uni,GPROSTD317552,"183,970.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Loughborough Uni,GPROSTD317921,"971,214.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Loughborough Uni,GPROSTD320299,"3,099,923.00"
