Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,16/07/2015,CO,E&P policy team,Uni of Westminster,GPROSTD382123,"47,019.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Winchester,GPROSTD358202,"169,845.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Winchester,GPROSTD359354,"56,978.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Wolverhampton,GPROSTD358220,"1,085,167.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Wolverhampton,GPROSTD359363,"162,040.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Wolverhampton,GPROSTD362351,"156,531.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Wolverhampton,GPROSTD363242,"52,177.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Wolverhampton,GPROSTD372673,"147,025.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of Wolverhampton,GPROSTD375253,"65,453.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Worcester,GPROSTD358247,"419,522.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of Worcester,GPROSTD375261,"73,210.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni StMark & StJohn,GPROSTD357869,"73,132.00"
BIS,HEFCE,16/07/2015,International,LGM,Universities UK,GPROSTD343098,"187,500.00"
BIS,HEFCE,16/07/2015,International,LGM,Universities UK,GPROSTD343113,"37,500.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,University of Bath,GPROSTD355385,"1,201,642.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,University of Bath,GPROSTD358337,"1,522,812.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,University of Bath,GPROSTD361496,"178,207.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,University of Bath,GPROSTD362387,"59,402.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,University of Bath,GPROSTD371445,"47,548.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,University of Bolton,GPROSTD355538,"446,361.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,University of Bolton,GPROSTD358373,"51,262.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,University of Derby,GPROSTD356060,"970,693.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,University of Derby,GPROSTD358571,"35,426.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,University of Derby,GPROSTD361694,"50,585.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,University of Derby,GPROSTD371733,"40,816.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,University of Derby,GPROSTD374377,"36,784.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,University of Durham,GPROSTD356096,"794,573.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,University of Durham,GPROSTD358580,"2,247,012.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,University of Durham,GPROSTD361703,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,University of Durham,GPROSTD362594,"71,250.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,University of Durham,GPROSTD371749,"385,517.00"
