Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4015212,"£4,406",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,MWB BUSINESS EXCHANGE CENTRES LTD,4015191,"£4,340",136954
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Advertising,Energy Markets & Infrastructure - Security and resilience,PETER LOCKYER ADVERTISING LTD,4014997,"£4,297",762
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Senior Civil Service Training,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PRAESTA PARTNERS LLP,4014481,"£4,275",16702
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Other Staff Costs,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE WHITEHALL AND INDUSTRY GROUP,4014846,"£4,250",100245
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Other External Recruitment Costs (Staff),Science & Innovation Group - Science & Innovation Group,GATENBY SANDERSON LTD,4015052,"£4,176",14068
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,NATURAL ENVIRONMENT RESEARCH COUNCIL,4014948,"£4,008",123635
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014491,"£4,000",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Advertising,Energy Markets & Infrastructure - Security and resilience,PETER LOCKYER ADVERTISING LTD,4014997,"£3,985",762
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,Other Centrally -Funded IT Maintenance and Support,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015048,"£3,922",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,29/06/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,AMTEC Consulting plc,4015357,"£3,910",6565
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4015070,"£3,891",105255
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,PROMOTIONAL LOGISTICS LTD,4014774,"£3,883",130128
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Hire of Conference Facilities,National Climate Change & Consumer Support - National Climate Change,CHURCH HOUSE CONFERENCE CENTRE LTD,4015026,"£3,843",103449
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Advertising,Energy Markets & Infrastructure - Security and resilience,PETER LOCKYER ADVERTISING LTD,4014997,"£3,740",762
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Other Office Service Costs,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,PROMOTIONAL LOGISTICS LTD,4014013,"£3,700",130128
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4015015,"£3,566",106247
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,CITY INN WESTMINSTER,4015189,"£3,495",868
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4015003,"£3,488",150906
