Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4013548," £5,761 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4013548," £5,638 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,VEGA CONSULTING SERVICES LTD,4013575," £18,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,VEGA CONSULTING SERVICES LTD,4013575," £18,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,U M C LTD,4013544," £2,688 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Corporate Management Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,RHODEN GREEN COMMUNICATIONS,4013584," £8,284 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4011974," £14,254,461 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4011975," £3,866,454 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Capital Grants to the Private Sector - Resource Expenditure,Science & Innovation Group - Science & Innovation Group,MICROCAB INDUSTRIES LTD,4013576," £2,769 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Hospitality - UK,Energy Markets & Infrastructure - Energy Strategy and Futures,LEITHS AT SOMERSET HOUSE,4013466," £1,840 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,JUDD FARRIS LTD,4013582," £1,394 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013501," £5,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4013465," £34,000,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,EA TECHNOLOGY LTD,4013545," £7,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,COI COMMUNICATIONS,4013556," £12,161 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,994481," £10,286 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,994480," £8,259 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4013555," £5,299 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Recruitment Consultancy Costs,DECC Central Budgets - DECC Central Budgets,COI COMMUNICATIONS,4013556, £518 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4013562," £17,826 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4013563," £1,375 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4013563," £1,375 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,BROOK STREET (UK) LTD,4013507, £775 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4013551," £4,136 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4013570, £635 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ADECCO UK LTD,4013577, £584 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4013215," £1,360 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,External Training,Energy Markets & Infrastructure - Energy Development Unit,UNIVERSITY OF THE WEST OF ENGLAND,4013421," £1,020 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4013533," £393,982 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4013534," £114,435 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4013581," £4,700 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4013586," £73,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4013586," £60,773 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4013586," £39,229 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Purchase of  Advertising and Publicity (Programme),International Energy & Climate Change - International Climate Change Negotiations,PANOS PUBLICATIONS LTD T/A PANOS PICTURES,4013599," £1,350 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Purchase of  Advertising and Publicity (Programme),International Energy & Climate Change - International Climate Change Negotiations,PANOS PUBLICATIONS LTD T/A PANOS PICTURES,4013599," £1,350 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4013532," £1,106 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4013532, £992 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013574," £63,395 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013574," £6,605 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Media and Design Services,International Energy & Climate Change - International Climate Change Negotiations,GWS LTD,4013597," £16,205 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4012574," £16,817 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Purchase of  Advertising and Publicity (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,DJ MEDIA,4013595, £534 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4013594, £782 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,ADECCO UK LTD,4013587," £3,212 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Energy Efficiency & Consumers,ADECCO UK LTD,4013381, £873 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Energy Efficiency & Consumers,ADECCO UK LTD,4013382, £873 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4013573, £710 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Energy Efficiency & Consumers,ADECCO UK LTD,4013592, £698 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,UKAEA,4013697," £2,247 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,UKAEA,4013697," £2,199 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Publications,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,THE STATIONERY OFFICE LTD,4013655," £1,250 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £1,503,009 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £1,118,880 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £596,732 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £524,411 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £517,844 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £329,688 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £240,561 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £212,877 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4013627," £133,334 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,STRAWBERRY HEAD LTD,4013631, £700 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,STRAWBERRY HEAD LTD,4013631, £700 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Honoraria / Fees and Expenses,Corporate Support & Shared Services - Corporate Support & Shared Services,STONECOURT CONSULTING LTD,4013620," £14,283 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4013630," £1,080 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4013640, £776 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4013637," £27,457 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4013636," £24,891 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,PINSENT MASONS LLP,4013629," £1,810 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Counsels Expert Legal Opinion on Points of Law,Energy Markets & Infrastructure - Office of Nuclear Development,PANNONE LLP,4013579," £45,255 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4013618," £1,258 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4013617, £726 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013600, £619 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4013615, £566 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4013616, £990 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,MANPOWER UK LTD,4013669, £899 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,MANPOWER UK LTD,4013668, £884 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,HOMES & COMMUNITIES AGENCY,4013647," £31,000,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4013709," £5,875 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4013709," £5,875 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4013704," £5,747 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4013705," £5,747 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4013706," £5,747 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4013715, £890 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,FCO SERVICES,4013645, £600 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Sponsorship Support,Energy Markets & Infrastructure - Energy Development Unit,EAST OF ENGLAND ENERGY GROUP (EEEGR),4013691," £1,175 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Other Overseas T&S,International Energy & Climate Change - International Energy & Carbon Budgets,DONA MA MONTSERRAT BORRAS LLOP,4013527," £1,469 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4013635," £60,502 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4013696," £1,554,530 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,CONSULUS LTD,4013638," £15,810 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4013665," £16,953 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Economic Consultancy and Research,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",COI COMMUNICATIONS,4013648," £7,860 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4013650," £246,979 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4013651," £168,170 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4013663, £930 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4013572, £528 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS CONSULTING,4013670," £4,017 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS CONSULTING,4013671," £1,959 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,External Training,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMANDA JONES T/A PINNACLE CONSULTANCY,4013649, £936 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ALLEN & OVERY LLP,4013628," £12,220 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4013578, £573 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Internal Training,National Climate Change & Consumer Support - Communications,WALLACESPACE LTD,4013731, £951 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Emergency Planning Service,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4013707," £17,781 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Emergency Planning Service,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4013707," £17,781 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Emergency Planning Service,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4013707," £1,189 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Emergency Planning Service,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4013707," £1,189 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,T&S Training,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,SOUTHWARK CATHEDRAL ENTERPRISES LTD,4013693," £1,150 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Conference Facilities (Programme),International Energy & Climate Change - International Climate Change Negotiations,ONE BIRDCAGE WALK,4013726," £2,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Conference Facilities (Programme),International Energy & Climate Change - International Climate Change Negotiations,ONE BIRDCAGE WALK,4013726," £1,421 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013605, £619 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013614, £604 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013607, £573 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013611, £542 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013613, £511 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013603, £503 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013603, £503 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4013720," £10,411 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT,4013746," £1,620 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT,4013780, £550 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT,4013782, £550 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT,4013745, £550 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4013530," £2,278 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4013529," £1,351 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4013529," £1,351 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,MINISTRY OF DEFENCE,4013743," £4,554,647 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Hire of Office Equipment,International Energy & Climate Change - International Climate Change Negotiations,LIVINGSTON ELECTRONIC SERVICES GMBH,4013725, £515 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013700," £131,343 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013729," £120,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013701," £116,169 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013722," £84,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013728," £79,997 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013728," £65,828 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013708," £60,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013723," £59,400 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013701," £53,938 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013721," £40,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013718," £33,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013710," £26,796 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013710," £18,687 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013728," £14,169 "
