Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Cash Expenditure during the Year - Other Coal Non-Health Provisions,EMI - Energy Development,CAPITA BUSINESS SERVICES LTD,4028870,"123,804.88"
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Oct-2011,Hire of Agency Staff (Professional/Management),Operations - HR,CAPITA RESOURCING LTD,4028908,"7,524.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Capital Grants - Other,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4029419,"216,350.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Capital Grants to Private Sector - Own Asset Creation,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4029420,"929,166.67"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Capital Grants - Other,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4029432,"1,096,134.39"
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Outsourced Programme Management Services,EMI - Energy Development,CEFAS-THE CENTRE FOR ENVIRONMENT FISHERIES & AQUACULTURE SCIENCE,4029094,"132,038.40"
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Oct-2011,Outsourced Programme Management Services,ICCEE - Heat & Industry,CENTRAL HALL WESTMINSTER LTD,4028827,"1,458.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Telecommunications (Programme),ICCEE - Fuel Poverty & Smart Meters,CESG,4029224,"6,405.08"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Telecommunications (Programme),ICCEE - Fuel Poverty & Smart Meters,CESG,4029224,"6,126.08"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Child Care,Operations - HR,CHILDCARE VOUCHERS LTD (EDENRED),4029504,"21,490.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Child Care,Operations - HR,CHILDCARE VOUCHERS LTD (EDENRED),4029504,537.25
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Outsourced Programme Management Services,EMI - Energy Development,CHRIS BANKS T/A BANKS SOLUTIONS,4029011,"1,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Oct-2011,Grant in Aid - Current -Other,EMI - Energy Development,COAL AUTHORITY,4028729,"2,000,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Oct-2011,Publications,EMI - Energy Development,COI COMMUNICATIONS,4028825,"10,170.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Other Printing and Stationery Costs (Programme),EMI - OND,COI COMMUNICATIONS,4029030,"9,987.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Public Relations & Marketing Advice & Services,ICCEE - Fuel Poverty & Smart Meters,COI COMMUNICATIONS,4029045,"53,142.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Advertising,Operations - HR,COI COMMUNICATIONS,4029123,901.55
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Oct-2011,Printing (Programme),Operations - Communications,COI COMMUNICATIONS,4029256,610
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,Grant in Aid - Current -Other,ICCEE - Energy Efficiency Deployment Office (EEDO),COI COMMUNICATIONS,4029267,"23,978.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Purchase of Completed Research,ICCEE - Energy Efficiency Deployment Office (EEDO),COI COMMUNICATIONS,4029292,"20,250.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Oct-2011,External Training,Private Office - Private Office,COIN STREET COMMUNITY BUILDERS LTD,4028800,"1,660.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,IT Maintenance and Management Services,EMI - Energy Development,COLLABRO,4028911,"18,850.70"
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Oct-2011,External Training,EMI - OCCS,CORNWALL ENERGY ASSOCIATES LTD,4029251,900
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Oct-2011,Cash Expenditure during the Year - Concessionary Fuel,EMI - Energy Development,CPL DISTRIBUTION LTD T/A CPL FUELS,4029160,"1,702,554.89"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,External Training,ICCEE - Heat & Industry,CPS FRAMEWORK LTD T/A GOVERNMENT EXCHANGE,4029390,"1,020.83"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4028893,"3,349.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4028895,"2,337.44"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028896,"11,657.85"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028898,"2,854.59"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4029013,"11,100.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4029022,"62,179.15"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4029023,"151,508.79"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4029024,"20,550.08"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4029025,"5,915.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4029026,"9,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4029028,"6,637.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,Other Staff Costs,Operations - HR,CYCLESCHEME LTD,4029443,"2,587.94"
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,Other Staff Costs,Operations - HR,CYCLESCHEME LTD,4029450,"1,672.88"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Outsourced Programme Management Services,ICCEE - Heat & Industry,DEBT MANAGEMENT OFFICE - HM TREASURY,4029007,"26,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Outsourced Programme Management Services,ICCEE - Heat & Industry,DEBT MANAGEMENT OFFICE - HM TREASURY,4029021,"6,342.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03-Oct-2011,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4028719,"100,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4029084,"100,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Oct-2011,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4029156,"200,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Oct-2011,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4029221,"200,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4029478,"200,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,04-Oct-2011,DECC Only  - Shared Services - Professional Services,Operations - HR,DEFRA,4028715,"164,225.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11-Oct-2011,DECC Only  - Shared Services - Accommodation,Operations - Finance and Procurement,DEFRA,4028963,"148,633.53"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Other Accommodation Charges,Operations - Finance and Procurement,DEFRA,4029372,"22,909.10"
Department of Energy and Climate Change,Department of Energy and Climate Change,03-Oct-2011,Secondees (not paid directly),EMI - Energy Markets and Networks,DELOITTE LLP,4028724,"9,683.17"
Department of Energy and Climate Change,Department of Energy and Climate Change,03-Oct-2011,Secondees (not paid directly),EMI - Energy Markets and Networks,DELOITTE LLP,4028724,"22,395.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4028885,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4028887,"10,604.00"
