,,,,,,,Annex A
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4025625,"1,170.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Research & Development Expenditure (Programme),Energy & Climate Change International - International Climate Change Negotiations,ENERDATA,4025626,"50,256.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4025627,"57,509.01 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,GOVERNMENT ACTUARYS DEPARTMENT,4025629,881.25 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",QUO IMUS LTD T/A QI CONSULTING,4025630,"22,325.14 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,GREEN PARK INTERIM & EXECUTIVE LTD,4025631,"16,113.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,Purchase of Office Machinery,Corporate Support & Shared Services - Corporate Support & Shared Services,DON RUFFLES LTD,4025634,"4,674.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4025635,"6,240.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Grant in Aid - Current -Other,Energy Markets & Infrastructure - Energy Development Unit,COAL AUTHORITY,4025636,"2,000,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4025637,"1,612.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4025638,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4025639,530.28 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025640,"12,950.14 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4025641,"22,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,BRIGHT FUTURES (NZ) LTD,4025642,"18,900.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Other Training Costs,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4025643,"1,350.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025646,"4,701.64 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025648,"4,409.01 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025649,"22,943.98 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025650,"12,182.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4025651,"50,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4025652,"46,911.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Technical Advice / Services & Support,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4025654,"2,310.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,THE REGULATORY ASSISTANCE PROJECT,4025656,"4,999.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Refund of Overpayments of Petroleum Licences,Energy Markets & Infrastructure - Energy Development Unit,JX NIPPON EXPLORATION AND PRODUCTION (UK) LTD,4025659,"6,555.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,SENATOR INTERNATIONAL LTD,4025661,"34,119.36 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4025662,"2,295.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025672,"2,296.38 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025673,736.40 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Maintenance of IT Equipment,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4025679,"1,674.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025681,"3,274.84 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025682,"165,059.86 "
