,,,,,,,Annex A
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4026325,"1,887.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Local IT Consultancy,National Climate Change & Consumer Support - Communications,E H S BRANN LTD,4026326,"4,020.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4026327,560.77 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4026331,"4,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4026332,"1,521,392.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN (UK) LTD,4026335,"162,483.26 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4026336,"8,491.19 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4026337,"27,880.55 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4026337,"241,419.56 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4026342,"30,896.92 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4026343,"929,166.67 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4026344,"1,764.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4026345,637.69 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4026346,"974,847.07 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4026347,"912,783.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4026349,"817,096.41 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Other Media Costs,Strategy - Strategy and Delivery Unit,MARKET OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,4026350,"17,832.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4026351,687.14 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4026361,"4,783.59 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Other IT Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4026376,"1,000.00 "
