Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016806,£592,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016581,£588,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016776,£588,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,23/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016950,£588,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,VECTOR BUSINESS SERVICES LTD,4016485,£588,38292
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,ADECCO UK LTD,4016496,£586,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016352,£585,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4017077,£584,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4017030,£584,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016575,£581,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016579,£581,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016796,£581,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016779,£581,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,23/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016939,£581,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017065,£581,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,18/08/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CAMBERTOWN LTD,4016432,£580,36308
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016809,£577,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4017102,£573,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4016592,£569,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,20/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4016900,£569,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016719,£566,104478
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),998659,£565,101572
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016356,£565,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,OFFICE ANGELS LTD,4016326,£562,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4017042,£562,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016572,£561,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4016591,£561,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,ADECCO UK LTD,4016739,£551,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT,4016846,£550,140925
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016960,£550,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017045,£550,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4016434,£549,157019
Department For Energy and Climate Change,Department For Energy and Climate Change,25/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016928,£546,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016775,£546,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016784,£542,105278
