,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026463,"9,750.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026464,740.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026464,"9,750.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026465,"22,667.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026466,"1,388.75 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026467,"1,388.75 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4026468,"1,785.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Grant in Aid - Current -Other,Energy Markets & Infrastructure - Energy Development Unit,COAL AUTHORITY,4026469,"2,000,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,DECC Only  - Shared Services - IT Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4026471,"6,760.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026472,740.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4026473,"2,787.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026474,"3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4026475,"2,806.92 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Telecomms Equipment,Operations - Finance and Procurement,MEDIA & COMMUNICATIONS LTD T/A BEST4SYSTEMS,4026477,"4,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,IT Software Licences,Corporate Support & Shared Services - Corporate Support & Shared Services,DECISIONWARE INC,4026478,"7,623.07 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,IT Software Licences,Strategy - Strategy and Delivery Unit,DECISIONWARE INC,4026478,"7,623.07 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026479,"1,281.10 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026479,"1,661.18 "
